dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
daily:02180.HK:hfq,equity_daily,02180.HK,HK,hfq,,success,FAIL,1314,2019-07-10,2026-08-24,2019-07-10,complete_to_verified_listing_date,,ohlc_logic_error,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=hfq/metadata.json
daily:08365.HK:raw,equity_daily,08365.HK,HK,raw,,success,PASS,1780,2017-05-26,2026-08-24,2017-05-26,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=08365.HK/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=08365.HK/adjust=raw/metadata.json
daily:08365.HK:qfq,equity_daily,08365.HK,HK,qfq,,success,PASS,1780,2017-05-26,2026-08-24,2017-05-26,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=08365.HK/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=08365.HK/adjust=qfq/metadata.json
daily:08365.HK:hfq,equity_daily,08365.HK,HK,hfq,,failed,NOT_RUN,0,,,2017-05-26,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.08365&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:08462.HK:raw,equity_daily,08462.HK,HK,raw,,failed,NOT_RUN,0,,,2017-07-17,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.08462&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:08462.HK:qfq,equity_daily,08462.HK,HK,qfq,,failed,NOT_RUN,0,,,2017-07-17,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.08462&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:08462.HK:hfq,equity_daily,08462.HK,HK,hfq,,failed,NOT_RUN,0,,,2017-07-17,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.08462&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:02076.HK:raw,equity_daily,02076.HK,HK,raw,,failed,NOT_RUN,0,,,2022-12-22,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.02076&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:02076.HK:qfq,equity_daily,02076.HK,HK,qfq,,failed,NOT_RUN,0,,,2022-12-22,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.02076&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
daily:02076.HK:hfq,equity_daily,02076.HK,HK,hfq,,failed,NOT_RUN,0,,,2022-12-22,history_unavailable,connection_error,"HTTPSConnectionPool(host='33.push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=116.02076&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2C",,
